Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Var1,Var2,Var3,Country,"Concrete compressive strength(MPa, megapascals) "
157,236,0,192,0,935.4,781.2,28,2,0,2,Spain,33.66
133,200,0,192,0,927.4,839.2,28,2,0,3,Spain,27.87
250.2,166.8,0,203.5,0,977.6,694.1,7,1,0,3,Spain,19.35
173,116,0,192,0,946.8,856.8,7,1,1,2,Spain,11.39
192,288,0,192,0,929.8,716.1,3,2,1,3,Spain,12.79
192,288,0,192,0,929.8,716.1,28,2,0,2,Spain,39.32
153,102,0,192,0,888,943.1,3,2,1,2,Spain,4.78
288,192,0,192,0,932,717.8,3,2,0,2,Spain,16.11
305.3,203.5,0,203.5,0,965.4,631,28,1,1,3,Spain,43.38
236,157,0,192,0,972.6,749.1,7,2,1,3,Spain,20.42
173,116,0,192,0,946.8,856.8,3,1,0,2,Spain,6.94
212,141.3,0,203.5,0,973.4,750,7,1,0,2,Spain,15.03
236,157,0,192,0,972.6,749.1,3,1,1,2,Spain,13.57
183.9,122.6,0,203.5,0,959.2,800,90,1,0,3,Spain,32.53
166.8,250.2,0,203.5,0,975.6,692.6,7,1,0,2,Spain,15.75
102,153,0,192,0,887,942,7,1,0,2,Spain,7.68
288,192,0,192,0,932,717.8,28,2,0,3,Spain,38.8
212,141.3,0,203.5,0,973.4,750,28,1,0,3,Spain,33
102,153,0,192,0,887,942,28,2,1,2,Spain,17.28
173,116,0,192,0,946.8,856.8,28,1,0,3,Spain,24.28
183.9,122.6,0,203.5,0,959.2,800,28,1,0,2,Spain,24.05
133,200,0,192,0,927.4,839.2,90,2,0,3,Spain,36.59
192,288,0,192,0,929.8,716.1,90,1,1,2,Spain,50.73
133,200,0,192,0,927.4,839.2,7,1,1,2,Spain,13.66
305.3,203.5,0,203.5,0,965.4,631,3,1,1,3,Spain,14.14
236,157,0,192,0,972.6,749.1,90,1,1,3,Spain,47.78
108.3,162.4,0,203.5,0,938.2,849,3,2,1,3,Spain,2.33
157,236,0,192,0,935.4,781.2,7,2,1,3,Spain,16.89
288,192,0,192,0,932,717.8,7,1,1,2,Spain,23.52
212,141.3,0,203.5,0,973.4,750,3,1,0,2,Spain,6.81
212,141.3,0,203.5,0,973.4,750,90,1,0,2,Spain,39.7
153,102,0,192,0,888,943.1,28,1,1,2,Spain,17.96
236,157,0,192,0,972.6,749.1,28,2,1,2,Spain,32.88
116,173,0,192,0,909.8,891.9,28,1,0,3,Spain,22.35
183.9,122.6,0,203.5,0,959.2,800,7,1,0,3,Spain,10.79
108.3,162.4,0,203.5,0,938.2,849,7,1,0,2,Spain,7.72
203.5,305.3,0,203.5,0,963.4,630,28,2,1,3,Spain,41.68
203.5,305.3,0,203.5,0,963.4,630,3,1,0,3,Spain,9.56
133,200,0,192,0,927.4,839.2,3,1,0,2,Spain,6.88
288,192,0,192,0,932,717.8,90,1,1,3,Spain,50.53
200,133,0,192,0,965.4,806.2,7,1,0,2,Spain,17.17
200,133,0,192,0,965.4,806.2,28,1,1,2,Spain,30.44
250.2,166.8,0,203.5,0,977.6,694.1,3,1,0,3,Spain,9.73
122.6,183.9,0,203.5,0,958.2,800.1,3,2,0,2,Spain,3.32
153,102,0,192,0,888,943.1,90,2,0,3,Spain,26.32
200,133,0,192,0,965.4,806.2,90,2,0,3,Spain,43.25
116,173,0,192,0,909.8,891.9,3,1,1,3,Spain,6.28
173,116,0,192,0,946.8,856.8,90,2,1,3,Spain,32.1
250.2,166.8,0,203.5,0,977.6,694.1,28,2,1,3,Spain,36.96
305.3,203.5,0,203.5,0,965.4,631,90,2,0,3,Spain,54.6
192,288,0,192,0,929.8,716.1,7,1,1,2,Spain,21.48
157,236,0,192,0,935.4,781.2,3,2,0,2,Spain,9.69
153,102,0,192,0,888,943.1,7,2,1,2,Spain,8.37
141.3,212,0,203.5,0,971.8,748.5,90,2,0,2,Spain,39.66
116,173,0,192,0,909.8,891.9,7,1,0,3,Spain,10.09
141.3,212,0,203.5,0,971.8,748.5,3,2,0,2,Spain,4.83
122.6,183.9,0,203.5,0,958.2,800.1,7,2,1,2,Spain,10.35
166.8,250.2,0,203.5,0,975.6,692.6,90,1,0,2,Spain,43.57
203.5,305.3,0,203.5,0,963.4,630,90,1,1,3,Spain,51.86
310,0,0,192,0,1012,830,3,1,0,2,Spain,11.85
310,0,0,192,0,1012,830,7,2,1,3,Spain,17.24
310,0,0,192,0,1012,830,28,2,1,3,Spain,27.83
310,0,0,192,0,1012,830,90,2,0,3,Spain,35.76
310,0,0,192,0,1012,830,120,1,0,3,Spain,38.7
331,0,0,192,0,1025,821,3,2,1,3,Spain,14.31
331,0,0,192,0,1025,821,7,1,1,3,Spain,17.44
331,0,0,192,0,1025,821,28,1,1,2,Spain,31.74
331,0,0,192,0,1025,821,90,1,1,2,Spain,37.91
331,0,0,192,0,1025,821,120,1,1,2,Spain,39.38
349,0,0,192,0,1056,809,3,2,1,2,Spain,15.87
349,0,0,192,0,1056,809,7,1,0,2,Spain,9.01
349,0,0,192,0,1056,809,28,2,1,2,Spain,33.61
349,0,0,192,0,1056,809,90,2,1,3,Spain,40.66
349,0,0,192,0,1056,809,120,2,0,3,Spain,40.86
238,0,0,186,0,1119,789,7,2,1,3,Spain,12.05
238,0,0,186,0,1119,789,28,1,1,2,Spain,17.54
296,0,0,186,0,1090,769,7,2,0,2,Spain,18.91
296,0,0,186,0,1090,769,28,1,1,3,Spain,25.18
297,0,0,186,0,1040,734,7,1,0,3,Spain,30.96
480,0,0,192,0,936,721,28,1,0,3,Spain,43.89
480,0,0,192,0,936,721,90,1,0,3,Spain,54.28
397,0,0,186,0,1040,734,28,2,0,2,Spain,36.94
281,0,0,186,0,1104,774,7,2,1,3,Spain,14.5
281,0,0,185,0,1104,774,28,2,1,2,Spain,22.44
500,0,0,200,0,1125,613,1,2,1,3,Spain,12.64
500,0,0,200,0,1125,613,3,1,0,2,Spain,26.06
500,0,0,200,0,1125,613,7,2,0,2,Spain,33.21
500,0,0,200,0,1125,613,14,2,1,3,Spain,36.94
500,0,0,200,0,1125,613,28,2,0,3,Spain,44.09
540,0,0,173,0,1125,613,7,2,0,2,Spain,52.61
540,0,0,173,0,1125,613,14,2,1,2,Spain,59.76
540,0,0,173,0,1125,613,28,2,0,2,Spain,67.31
540,0,0,173,0,1125,613,90,1,1,3,Spain,69.66
540,0,0,173,0,1125,613,180,1,0,3,Spain,71.62
540,0,0,173,0,1125,613,270,1,0,2,Spain,74.17
350,0,0,203,0,974,775,7,2,1,2,Spain,18.13
350,0,0,203,0,974,775,14,2,1,3,Spain,22.53
350,0,0,203,0,974,775,28,2,0,2,Spain,27.34
350,0,0,203,0,974,775,56,2,1,2,Spain,29.98
350,0,0,203,0,974,775,90,2,1,3,Spain,31.35
350,0,0,203,0,974,775,180,1,1,2,Spain,32.72
385,0,0,186,0,966,763,1,2,1,2,Spain,6.27
385,0,0,186,0,966,763,3,1,1,3,Spain,14.7
385,0,0,186,0,966,763,7,2,0,3,Spain,23.22
385,0,0,186,0,966,763,14,1,0,2,Spain,27.92
385,0,0,186,0,966,763,28,2,1,3,Spain,31.35
331,0,0,192,0,978,825,180,2,0,2,Spain,39
331,0,0,192,0,978,825,360,2,0,2,Spain,41.24
349,0,0,192,0,1047,806,3,1,0,3,Spain,14.99
331,0,0,192,0,978,825,3,1,1,3,Spain,13.52
382,0,0,186,0,1047,739,7,2,1,2,Spain,24
382,0,0,186,0,1047,739,28,1,0,3,Spain,37.42
382,0,0,186,0,1111,784,7,2,0,3,Spain,11.47
281,0,0,186,0,1104,774,28,2,0,2,Spain,22.44
339,0,0,185,0,1069,754,7,2,0,2,Spain,21.16
339,0,0,185,0,1069,754,28,2,1,2,Spain,31.84
295,0,0,185,0,1069,769,7,2,0,2,Spain,14.8
295,0,0,185,0,1069,769,28,1,1,2,Spain,25.18
238,0,0,185,0,1118,789,28,2,0,2,Spain,17.54
296,0,0,192,0,1085,765,7,2,1,3,Spain,14.2
296,0,0,192,0,1085,765,28,1,0,3,Spain,21.65
296,0,0,192,0,1085,765,90,2,1,3,Spain,29.39
331,0,0,192,0,879,825,3,2,1,3,Spain,13.52
331,0,0,192,0,978,825,7,2,1,3,Spain,16.26
331,0,0,192,0,978,825,28,2,1,3,Spain,31.45
331,0,0,192,0,978,825,90,1,0,3,Spain,37.23
349,0,0,192,0,1047,806,7,2,0,2,Spain,18.13
349,0,0,192,0,1047,806,28,2,1,2,Spain,32.72
349,0,0,192,0,1047,806,90,1,0,2,Spain,39.49
349,0,0,192,0,1047,806,180,1,0,2,Spain,41.05
349,0,0,192,0,1047,806,360,2,0,2,Spain,42.13
302,0,0,203,0,974,817,14,2,0,2,Spain,18.13
302,0,0,203,0,974,817,180,1,1,2,Spain,26.74
525,0,0,189,0,1125,613,180,2,1,2,Spain,61.92
500,0,0,200,0,1125,613,90,2,0,3,Spain,47.22
500,0,0,200,0,1125,613,180,1,1,2,Spain,51.04
500,0,0,200,0,1125,613,270,2,1,2,Spain,55.16
540,0,0,173,0,1125,613,3,2,0,2,Spain,41.64
252,0,0,185,0,1111,784,7,1,0,3,Spain,13.71
252,0,0,185,0,1111,784,28,1,1,3,Spain,19.69
339,0,0,185,0,1060,754,28,1,1,3,Spain,31.65
393,0,0,192,0,940,758,3,1,1,3,Spain,19.11
393,0,0,192,0,940,758,28,2,0,2,Spain,39.58
393,0,0,192,0,940,758,90,2,0,3,Spain,48.79
382,0,0,185,0,1047,739,7,1,0,2,Spain,24
382,0,0,185,0,1047,739,28,1,1,3,Spain,37.42
252,0,0,186,0,1111,784,7,1,0,2,Spain,11.47
252,0,0,185,0,1111,784,28,1,0,3,Spain,19.69
310,0,0,192,0,970,850,7,1,0,3,Spain,14.99
310,0,0,192,0,970,850,28,2,0,2,Spain,27.92
310,0,0,192,0,970,850,90,2,1,3,Spain,34.68
310,0,0,192,0,970,850,180,2,0,2,Spain,37.33
310,0,0,192,0,970,850,360,2,1,3,Spain,38.11
525,0,0,189,0,1125,613,3,1,1,3,Spain,33.8
525,0,0,189,0,1125,613,7,1,0,3,Spain,42.42
525,0,0,189,0,1125,613,14,2,1,3,Spain,48.4
525,0,0,189,0,1125,613,28,1,0,2,Spain,55.94
525,0,0,189,0,1125,613,90,1,0,3,Spain,58.78
525,0,0,189,0,1125,613,270,2,0,2,Spain,67.11
322,0,0,203,0,974,800,14,2,1,3,Spain,20.77
322,0,0,203,0,974,800,28,2,0,3,Spain,25.18
322,0,0,203,0,974,800,180,1,1,2,Spain,29.59
302,0,0,203,0,974,817,28,1,0,3,Spain,21.75
397,0,0,185,0,1040,734,28,1,1,2,Spain,39.09
480,0,0,192,0,936,721,3,2,1,2,Spain,24.39
522,0,0,146,0,896,896,7,1,1,2,Spain,50.51
522,0,0,146,0,896,896,28,2,0,2,Spain,74.99
273,105,82,210,9,904,680,28,1,0,3,Spain,37.17
162,190,148,179,19,838,741,28,1,0,3,Spain,33.76
154,144,112,220,10,923,658,28,2,1,2,Spain,16.5
147,115,89,202,9,860,829,28,1,0,3,Spain,19.99
152,178,139,168,18,944,695,28,1,1,3,Spain,36.35
310,143,111,168,22,914,651,28,2,1,2,Spain,33.69
144,0,175,158,18,943,844,28,1,0,2,Spain,15.42
304,140,0,214,6,895,722,28,2,1,3,Spain,33.42
374,0,0,190,7,1013,730,28,2,1,2,Spain,39.05
159,149,116,175,15,953,720,28,2,1,2,Spain,27.68
153,239,0,200,6,1002,684,28,1,0,2,Spain,26.86
310,143,0,168,10,914,804,28,2,1,2,Spain,45.3
305,0,100,196,10,959,705,28,1,0,3,Spain,30.12
151,0,184,167,12,991,772,28,2,1,3,Spain,15.57
142,167,130,174,11,883,785,28,1,1,3,Spain,44.61
298,137,107,201,6,878,655,28,1,1,3,Spain,53.52
321,164,0,190,5,870,774,28,1,0,2,Spain,57.21
366,187,0,191,7,824,757,28,1,0,2,Spain,65.91
280,129,100,172,9,825,805,28,1,0,3,Spain,52.82
252,97,76,194,8,835,821,28,2,1,2,Spain,33.4
165,0,150,182,12,1023,729,28,1,0,3,Spain,18.03
156,243,0,180,11,1022,698,28,1,1,3,Spain,37.36
160,188,146,203,11,829,710,28,2,1,2,Spain,32.84
298,0,107,186,6,879,815,28,1,0,2,Spain,42.64
318,0,126,210,6,861,737,28,2,0,3,Spain,40.06
287,121,94,188,9,904,696,28,2,0,3,Spain,41.94
326,166,0,174,9,882,790,28,2,1,3,Spain,61.23
356,0,142,193,11,801,778,28,1,0,2,Spain,40.87
132,207,161,179,5,867,736,28,1,1,2,Spain,33.3
322,149,0,186,8,951,709,28,1,1,3,Spain,52.42
164,0,200,181,13,849,846,28,1,0,2,Spain,15.09
314,0,113,170,10,925,783,28,1,0,2,Spain,38.46
321,0,128,182,11,870,780,28,2,1,2,Spain,37.26
140,164,128,237,6,869,656,28,2,0,2,Spain,35.23
288,121,0,177,7,908,829,28,1,1,2,Spain,42.13
298,0,107,210,11,880,744,28,2,0,3,Spain,31.87
265,111,86,195,6,833,790,28,2,0,2,Spain,41.54
160,250,0,168,12,1049,688,28,2,0,2,Spain,39.45
166,260,0,183,13,859,827,28,2,1,2,Spain,37.91
276,116,90,180,9,870,768,28,2,1,3,Spain,44.28
322,0,116,196,10,818,813,28,1,0,3,Spain,31.18
149,139,109,193,6,892,780,28,2,0,3,Spain,23.69
159,187,0,176,11,990,789,28,1,1,3,Spain,32.76
261,100,78,201,9,864,761,28,1,0,3,Spain,32.4
237,92,71,247,6,853,695,28,2,1,2,Spain,28.63
313,0,113,178,8,1002,689,28,1,1,2,Spain,36.8
155,183,0,193,9,1047,697,28,2,1,2,Spain,18.28
146,230,0,202,3,827,872,28,1,1,2,Spain,33.06
296,0,107,221,11,819,778,28,1,0,2,Spain,31.42
133,210,0,196,3,949,795,28,1,1,3,Spain,31.03
313,145,0,178,8,867,824,28,1,0,3,Spain,44.39
152,0,112,184,8,992,816,28,1,0,3,Spain,12.18
153,145,113,178,8,1002,689,28,1,0,2,Spain,25.56
140,133,103,200,7,916,753,28,1,0,3,Spain,36.44
149,236,0,176,13,847,893,28,2,0,2,Spain,32.96
300,0,120,212,10,878,728,28,1,0,3,Spain,23.84
153,145,113,178,8,867,824,28,1,1,3,Spain,26.23
148,0,137,158,16,1002,830,28,1,1,3,Spain,17.95
326,0,138,199,11,801,792,28,1,0,2,Spain,40.68
153,145,0,178,8,1000,822,28,1,0,3,Spain,19.01
262,111,86,195,5,895,733,28,2,0,3,Spain,33.72
158,0,195,220,11,898,713,28,2,1,3,Spain,8.54
151,0,185,167,16,1074,678,28,1,0,2,Spain,13.46
273,0,90,199,11,931,762,28,1,0,2,Spain,32.24
149,118,92,183,7,953,780,28,1,0,3,Spain,23.52
143,169,143,191,8,967,643,28,2,1,3,Spain,29.72
260,101,78,171,10,936,763,28,1,0,2,Spain,49.77
313,161,0,178,10,917,759,28,2,0,2,Spain,52.44
284,120,0,168,7,970,794,28,1,0,3,Spain,40.93
336,0,0,182,3,986,817,28,2,0,2,Spain,44.86
145,0,134,181,11,979,812,28,1,0,2,Spain,13.2
150,237,0,174,12,1069,675,28,2,1,2,Spain,37.43
144,170,133,192,8,814,805,28,2,0,2,Spain,29.87
331,170,0,195,8,811,802,28,2,0,2,Spain,56.61
155,0,143,193,9,1047,697,28,1,1,2,Spain,12.46
155,183,0,193,9,877,868,28,2,0,2,Spain,23.79
135,0,166,180,10,961,805,28,1,0,2,Spain,13.29
266,112,87,178,10,910,745,28,2,1,3,Spain,39.42
314,145,113,179,8,869,690,28,2,0,3,Spain,46.23
313,145,0,127,8,1000,822,28,2,1,3,Spain,44.52
146,173,0,182,3,986,817,28,2,0,3,Spain,23.74
144,136,106,178,7,941,774,28,1,0,3,Spain,26.14
148,0,182,181,15,839,884,28,2,0,2,Spain,15.52
277,117,91,191,7,946,666,28,1,0,3,Spain,43.57
298,0,107,164,13,953,784,28,1,1,2,Spain,35.86
313,145,0,178,8,1002,689,28,2,0,2,Spain,41.05
155,184,143,194,9,880,699,28,2,0,3,Spain,28.99
289,134,0,195,6,924,760,28,1,0,2,Spain,46.24
148,175,0,171,2,1000,828,28,2,1,3,Spain,26.92
145,0,179,202,8,824,869,28,1,0,3,Spain,10.54
313,0,0,178,8,1000,822,28,2,1,3,Spain,25.1
136,162,126,172,10,923,764,28,2,1,3,Spain,29.07
155,0,143,193,9,877,868,28,2,0,3,Spain,9.74
255,99,77,189,6,919,749,28,2,0,3,Spain,33.8
162,207,172,216,10,822,638,28,2,0,3,Spain,39.84
136,196,98,199,6,847,783,28,2,1,2,Spain,26.97
164,163,128,197,8,961,641,28,2,0,3,Spain,27.23
162,214,164,202,10,820,680,28,1,0,3,Spain,30.65
157,214,152,200,9,819,704,28,1,1,3,Spain,33.05
149,153,194,192,8,935,623,28,2,0,2,Spain,24.58
135,105,193,196,6,965,643,28,2,1,3,Spain,21.91
159,209,161,201,7,848,669,28,2,1,2,Spain,30.88
144,15,195,176,6,1021,709,28,2,1,3,Spain,15.34
154,174,185,228,7,845,612,28,2,1,3,Spain,24.34
167,187,195,185,7,898,636,28,1,1,3,Spain,23.89
184,86,190,213,6,923,623,28,2,0,2,Spain,22.93
156,178,187,221,7,854,614,28,1,0,2,Spain,29.41
236.9,91.7,71.5,246.9,6,852.9,695.4,28,1,1,3,Spain,28.63
313.3,0,113,178.5,8,1001.9,688.7,28,1,0,2,Spain,36.8
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,2,0,3,Spain,18.29
145.9,230.5,0,202.5,3.4,827,871.8,28,2,0,2,Spain,32.72
296,0,106.7,221.4,10.5,819.2,778.4,28,2,0,3,Spain,31.42
133.1,210.2,0,195.7,3.1,949.4,795.3,28,1,1,2,Spain,28.94
313.3,145,0,178.5,8,867.2,824,28,2,0,3,Spain,40.93
151.6,0,111.9,184.4,7.9,992,815.9,28,1,0,3,Spain,12.18
153.1,145,113,178.5,8,1001.9,688.7,28,1,0,3,Spain,25.56
139.9,132.6,103.3,200.3,7.4,916,753.4,28,1,1,3,Spain,36.44
149.5,236,0,175.8,12.6,846.8,892.7,28,2,1,2,Spain,32.96
299.8,0,119.8,211.5,9.9,878.2,727.6,28,1,0,2,Spain,23.84
153.1,145,113,178.5,8,867.2,824,28,2,1,2,Spain,26.23
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,1,1,2,Spain,17.96
326.5,0,137.9,199,10.8,801.1,792.5,28,1,0,2,Spain,38.63
152.7,144.7,0,178.1,8,999.7,822.2,28,2,0,3,Spain,19.01
261.9,110.5,86.1,195.4,5,895.2,732.6,28,1,0,3,Spain,33.72
158.4,0,194.9,219.7,11,897.7,712.9,28,2,1,3,Spain,8.54
150.7,0,185.3,166.7,15.6,1074.5,678,28,2,1,3,Spain,13.46
272.6,0,89.6,198.7,10.6,931.3,762.2,28,2,1,3,Spain,32.25
149,117.6,91.7,182.9,7.1,953.4,780.3,28,1,1,3,Spain,23.52
143,169.4,142.7,190.7,8.4,967.4,643.5,28,1,0,3,Spain,29.73
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,1,1,2,Spain,49.77
312.9,160.5,0,177.6,9.6,916.6,759.5,28,1,0,2,Spain,52.45
284,119.7,0,168.3,7.2,970.4,794.2,28,1,0,3,Spain,40.93
336.5,0,0,181.9,3.4,985.8,816.8,28,2,1,3,Spain,44.87
144.8,0,133.6,180.8,11.1,979.5,811.5,28,1,1,3,Spain,13.2
150,236.8,0,173.8,11.9,1069.3,674.8,28,1,0,2,Spain,37.43
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,2,1,3,Spain,29.87
330.5,169.6,0,194.9,8.1,811,802.3,28,2,1,2,Spain,56.62
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,1,0,2,Spain,12.46
154.8,183.4,0,193.3,9.1,877.2,867.7,28,2,1,3,Spain,23.79
134.7,0,165.7,180.2,10,961,804.9,28,1,1,3,Spain,13.29
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,2,0,2,Spain,39.42
314,145.3,113.2,178.9,8,869.1,690.2,28,2,0,3,Spain,46.23
312.7,144.7,0,127.3,8,999.7,822.2,28,1,0,2,Spain,44.52
145.7,172.6,0,181.9,3.4,985.8,816.8,28,2,0,2,Spain,23.74
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,1,0,2,Spain,26.15
148.1,0,182.1,181.4,15,838.9,884.3,28,2,1,3,Spain,15.53
277,116.8,91,190.6,7,946.5,665.6,28,1,1,2,Spain,43.58
298.1,0,107.5,163.6,12.8,953.2,784,28,2,1,2,Spain,35.87
313.3,145,0,178.5,8,1001.9,688.7,28,1,1,2,Spain,41.05
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,2,0,3,Spain,28.99
289,133.7,0,194.9,5.5,924.1,760.1,28,1,0,2,Spain,46.25
147.8,175.1,0,171.2,2.2,1000,828.5,28,1,0,2,Spain,26.92
145.4,0,178.9,201.7,7.8,824,868.7,28,1,0,3,Spain,10.54
312.7,0,0,178.1,8,999.7,822.2,28,1,0,3,Spain,25.1
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,2,1,2,Spain,29.07
154.8,0,142.8,193.3,9.1,877.2,867.7,28,2,1,3,Spain,9.74
255.3,98.8,77,188.6,6.5,919,749.3,28,1,1,3,Spain,33.8
272.8,105.1,81.8,209.7,9,904,679.7,28,1,0,2,Spain,37.17
162,190.1,148.1,178.8,18.8,838.1,741.4,28,2,0,3,Spain,33.76
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,2,1,3,Spain,16.5
146.5,114.6,89.3,201.9,8.8,860,829.5,28,1,0,3,Spain,19.99
151.8,178.1,138.7,167.5,18.3,944,694.6,28,1,0,2,Spain,36.35
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,1,0,2,Spain,38.22
143.6,0,174.9,158.4,17.9,942.7,844.5,28,1,1,3,Spain,15.42
303.6,139.9,0,213.5,6.2,895.5,722.5,28,2,1,2,Spain,33.42
374.3,0,0,190.2,6.7,1013.2,730.4,28,2,0,2,Spain,39.06
158.6,148.9,116,175.1,15,953.3,719.7,28,1,0,3,Spain,27.68
152.6,238.7,0,200,6.3,1001.8,683.9,28,1,0,2,Spain,26.86
310,142.8,0,167.9,10,914.3,804,28,1,0,2,Spain,45.3
304.8,0,99.6,196,9.8,959.4,705.2,28,1,0,2,Spain,30.12
150.9,0,183.9,166.6,11.6,991.2,772.2,28,1,1,2,Spain,15.57
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,2,0,3,Spain,44.61
297.8,137.2,106.9,201.3,6,878.4,655.3,28,1,1,3,Spain,53.52
321.3,164.2,0,190.5,4.6,870,774,28,2,1,3,Spain,57.22
366,187,0,191.3,6.6,824.3,756.9,28,2,1,2,Spain,65.91
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,2,0,3,Spain,52.83
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,2,1,2,Spain,33.4
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,1,1,2,Spain,18.03
155.6,243.5,0,180.3,10.7,1022,697.7,28,2,0,3,Spain,37.36
160.2,188,146.4,203.2,11.3,828.7,709.7,28,2,1,3,Spain,35.31
298.1,0,107,186.4,6.1,879,815.2,28,2,1,2,Spain,42.64
317.9,0,126.5,209.7,5.7,860.5,736.6,28,1,1,2,Spain,40.06
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,1,1,2,Spain,43.8
325.6,166.4,0,174,8.9,881.6,790,28,2,0,3,Spain,61.24
355.9,0,141.6,193.3,11,801.4,778.4,28,2,1,3,Spain,40.87
132,206.5,160.9,178.9,5.5,866.9,735.6,28,1,1,2,Spain,33.31
322.5,148.6,0,185.8,8.5,951,709.5,28,1,0,3,Spain,52.43
164.2,0,200.1,181.2,12.6,849.3,846,28,1,0,3,Spain,15.09
313.8,0,112.6,169.9,10.1,925.3,782.9,28,1,1,3,Spain,38.46
321.4,0,127.9,182.5,11.5,870.1,779.7,28,1,0,3,Spain,37.27
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,2,1,3,Spain,35.23
288.4,121,0,177.4,7,907.9,829.5,28,2,1,2,Spain,42.14
298.2,0,107,209.7,11.1,879.6,744.2,28,2,0,3,Spain,31.88
264.5,111,86.5,195.5,5.9,832.6,790.4,28,1,0,3,Spain,41.54
159.8,250,0,168.4,12.2,1049.3,688.2,28,1,0,2,Spain,39.46
166,259.7,0,183.2,12.7,858.8,826.8,28,1,1,3,Spain,37.92
276.4,116,90.3,179.6,8.9,870.1,768.3,28,1,1,2,Spain,44.28
322.2,0,115.6,196,10.4,817.9,813.4,28,2,0,3,Spain,31.18
148.5,139.4,108.6,192.7,6.1,892.4,780,28,1,0,3,Spain,23.7
159.1,186.7,0,175.6,11.3,989.6,788.9,28,2,1,3,Spain,32.77
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,1,1,2,Spain,32.4
